name,twitter,from,followers,following,true_followers,true_following,to_check_followers,to_check_following
Mary Clare  Amselem,MCAmselem,heritage,3678,752,3677,752,-1,0
"Ryan T. Anderson, Ph.D.",RyanTAnd,heritage,31637,586,31600,586,-37,0
Doug  Badger,Dougsbriefcase,heritage,605,157,605,157,0,0
Daren  Bakst,darenbakst,heritage,890,667,894,666,4,-1
Frederico  Bartels,FredericoBF,heritage,615,501,616,501,1,0
Gabriella   Beaumont-Smith,GabAboutTrade,heritage,102,291,102,291,0,0
"Theodore R. Bromund, Ph.D.",Bromund,heritage,1041,310,1041,310,0,0
Peter  Brookes,Brookes_Peter,heritage,1673,456,1673,456,0,0
"Lindsey M. Burke, Ph.D.",lindseymburke,heritage,4629,1774,4648,1773,19,-1
David R. Burton,DavidRBurton,heritage,0,0,0,0,0,0
Jonathan  Butcher,JM_Butcher,heritage,1180,569,1186,569,6,0
GianCarlo  Canaparo,Gcanaparo,heritage,176,462,189,466,13,4
James Jay Carafano,JJCarafano,heritage,16923,5658,16900,5653,-23,-5
"James W. Ceaser, Ph.D.",jwc2g,heritage,43,5,43,5,0,0
Dean  Cheng,,heritage,0,0,0,0,0,0
Maiya  Clark,MaiyaCl,heritage,43,50,43,50,0,0
Luke  Coffey,LukeDCoffey,heritage,18472,528,18500,528,28,0
Helle C. Dale,Helledale,heritage,765,422,765,422,0,0
"Kevin   Dayaratna, Ph.D.",kdd0211,heritage,296,575,295,574,-1,-1
James  Di Pane,JamesDiPane,heritage,45,249,45,249,0,0
David  Ditch,DavidADitch,heritage,230,88,229,88,-1,0
Tim  Doescher,TimothyDoescher,heritage,169,126,169,126,0,0
"Lee  Edwards, Ph.D.",LeeWEdwards,heritage,197,30,197,30,0,0
Olivia   Enos,OliviaEnos,heritage,3741,1999,3745,2000,4,1
"Edwin J. Feulner, Ph.D.",EdFeulner,heritage,4890,2507,4887,2508,-3,1
Marie  Fishpaw,,heritage,0,0,0,0,0,0
"Nile  Gardiner, Ph.D.",NileGardiner,heritage,12689,1291,12700,1291,11,0
James L. Gattuso,Jamesgattuso,heritage,572,0,0,0,-572,0
Drew  Gonshorowski,,heritage,0,0,0,0,0,0
Mike  Gonzalez,Gundisalvus,heritage,6108,3368,6115,3368,7,0
Rachel  Greszler,,heritage,0,0,0,0,0,0
Joel  Griffith,joelgriffith,heritage,1409,1735,1404,1735,-5,0
"Allen C. Guelzo, Ph.D.",,heritage,0,0,0,0,0,0
Edmund F. Haislmaier,,heritage,0,0,0,0,0,0
Jamie Bryan Hall,Mr_Jamie_B_Hall,heritage,259,238,259,238,0,0
"Kim R. Holmes, Ph.D.",kimsmithholmes,heritage,1994,1975,1993,1976,-1,1
Mike  Howell,MHowellTweets,heritage,357,1469,359,1470,2,1
Melanie  Israel,Melanie_Israel,heritage,1127,353,1130,353,3,0
Thomas  Jipping,TomJipping,heritage,673,160,676,160,3,0
Emilie  Kao,EmilieTHF,heritage,1269,655,1269,654,0,-1
Diane  Katz,Dianeskatz,heritage,358,118,358,118,0,0
Anthony B. Kim,akfreedom,heritage,526,150,526,149,0,-1
Klon  Kitchen,klonkitchen,heritage,1794,702,1795,704,1,2
Jessica   Kline,JekkaKline ,heritage,0,0,0,0,0,0
Bruce  Klingner,BruceKlingner,heritage,10515,133,10500,133,-15,0
Daniel  Kochis,dankochis,heritage,985,610,983,610,-2,0
Paul J. Larkin Jr.,,heritage,0,0,0,0,0,0
Walter  Lohman,WalterLohman,heritage,2039,371,2039,371,0,0
Nicolas  Loris,NiconomistLoris,heritage,669,127,669,127,0,0
John  Malcolm,malcolm_john,heritage,2139,212,2139,212,0,0
Jennifer A. Marshall,MarshallJenA,heritage,1877,426,1878,426,1,0
Joshua   Meservey,Jmeservey,heritage,861,417,861,417,0,0
Adam  Michel,adamnmichel,heritage,817,394,817,394,0,0
